Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
1952 0.64 0.56 0.07 0.71 -0.50 -0.74 -0.54 -0.12 -0.03 -0.06 -0.02 0.41
1953 0.18 0.50 0.50 0.81 1.79 0.62 0.37 0.90 1.19 0.16 0.37 0.41
1954 0.00 0.39 0.17 -0.31 -0.34 -0.44 -0.81 -1.17 -0.68 -0.57 -0.67 -0.96
1955 -0.01 -1.14 -0.58 -0.40 -1.29 -1.49 -1.72 -1.27 -1.46 -1.64 -1.65 -1.15
1956 -1.10 -1.14 -0.98 -0.95 -1.04 -1.06 -1.13 -1.06 -0.56 -1.30 -0.56 -0.70
1957 -0.44 0.04 0.24 0.43 1.11 0.68 0.65 1.08 0.94 0.49 1.20 0.86
1958 1.67 1.24 0.86 0.35 1.16 0.45 0.10 -0.13 0.05 0.26 0.36 0.59
1959 0.68 1.07 -0.09 0.19 0.09 0.13 0.18 0.03 -0.26 -0.08 -0.50 -0.34
1960 0.07 -0.02 -0.21 -0.19 0.07 0.07 -0.25 -0.22 -0.18 0.07 -0.47 -0.23
1961 0.15 -0.27 0.95 -0.23 0.05 0.37 -0.16 -0.08 -0.30 -0.06 -0.41 -0.70
1962 -0.83 0.11 -0.13 -0.28 -0.76 -0.22 -0.05 -0.20 -0.53 -0.63 -0.33 -0.15
1963 -0.47 -0.29 -0.27 -0.14 0.09 0.63 0.81 0.88 0.83 1.19 0.86 1.21
1964 0.67 0.40 -0.36 -1.00 -0.45 -0.91 -0.64 -1.13 -1.15 -1.17 -0.53 -0.27
1965 -0.03 -0.22 -0.30 0.52 0.31 1.03 1.90 1.55 1.63 1.54 1.91 0.79
1966 1.22 0.78 1.31 0.89 0.44 0.18 0.44 -0.13 0.19 0.14 -0.07 0.20
1967 -0.91 -0.95 -0.55 -0.29 0.16 -0.23 0.02 -0.40 -0.50 -0.12 0.13 0.24
1968 -0.47 -0.82 -0.27 -0.18 -0.81 -0.16 0.08 0.36 0.30 0.37 0.65 0.39
1969 1.11 1.06 0.48 0.71 0.87 0.40 0.59 0.72 0.93 1.04 0.50 0.29
1970 0.87 0.84 0.19 0.46 0.16 -0.51 -0.36 -0.81 -0.99 -0.71 -1.32 -1.36
1971 -0.83 -1.50 -1.66 -1.68 -1.00 -0.67 -0.42 -1.10 -1.13 -1.26 -0.69 -0.47
1972 -0.41 -0.47 -0.20 0.44 1.56 1.23 1.70 1.47 1.60 1.59 1.19 1.84
1973 1.06 1.39 0.46 0.17 -0.45 -1.07 -1.05 -1.40 -1.46 -1.33 -2.46 -1.89
1974 -1.96 -1.66 -1.82 -1.22 -1.18 -0.58 -0.93 -0.47 -0.70 -0.78 -0.27 -0.43
1975 0.11 -0.43 -0.84 -0.95 -0.95 -1.58 -1.82 -1.76 -1.90 -1.65 -1.36 -1.74
1976 -1.42 -1.24 -0.97 -0.35 -0.57 0.14 0.86 0.89 1.08 0.45 0.12 0.60
1977 0.65 -0.01 0.78 0.33 0.73 1.20 1.23 0.85 0.86 1.20 1.33 1.18
1978 0.63 1.64 0.40 0.11 -1.00 -0.44 -0.45 -0.48 -0.34 0.16 0.07 0.18
1979 0.26 -0.25 0.31 0.47 -0.18 -0.08 -0.66 0.48 0.37 0.37 0.50 0.81
1980 0.20 0.21 0.52 0.86 0.43 0.64 0.26 -0.12 0.26 0.11 0.31 0.33
1981 -0.31 -0.03 0.82 0.18 -0.35 -0.47 -0.58 -0.29 -0.20 0.32 -0.16 -0.11
1982 -0.36 -0.06 0.00 0.47 1.05 1.74 1.56 1.90 2.04 2.22 2.69 2.38
1983 2.76 3.08 2.50 1.56 0.67 0.82 0.39 0.09 -0.67 -0.77 -0.53 -0.37
1984 -0.37 -0.54 0.02 -0.56 -0.38 -0.28 -0.20 -0.31 -0.21 -0.20 -0.66 -0.62
1985 -0.19 -0.95 -0.72 -1.06 -0.49 -0.11 -0.22 -0.64 -0.29 -0.01 -0.02 -0.21
1986 -0.73 0.26 -0.29 -0.29 0.06 -0.31 0.20 0.59 0.76 0.30 1.35 1.31
1987 1.00 1.42 1.71 1.84 1.96 2.08 2.10 1.87 1.68 1.14 0.74 0.90
1988 0.54 0.54 0.18 -0.30 -1.30 -1.11 -1.60 -1.65 -1.71 -1.86 -2.06 -1.47
1989 -1.56 -1.23 -1.14 -1.65 -1.26 -0.74 -0.64 -0.04 -0.40 -0.51 0.06 0.27
1990 0.15 1.13 0.61 0.32 -0.29 0.12 0.04 0.47 0.55 0.17 0.40 0.40
1991 0.12 0.23 0.64 0.86 1.38 0.94 0.71 0.82 1.02 1.28 1.00 1.82
1992 2.12 1.51 2.22 2.05 1.19 1.18 0.70 -0.08 -0.02 0.75 0.36 0.40
1993 0.59 0.74 0.81 1.71 1.20 1.38 0.94 0.92 0.65 0.96 0.24 0.12
1994 0.16 -0.07 0.53 1.10 0.89 0.83 1.11 1.34 1.18 1.29 1.02 1.32
1995 0.84 0.70 0.44 0.97 0.64 0.28 0.00 -0.20 -0.42 -0.26 -0.38 0.01
1996 -0.66 -0.39 -0.52 -0.53 -0.48 -0.54 -0.26 -0.35 -0.44 -0.27 -0.03 -0.48
1997 -0.31 -0.75 0.42 0.96 2.11 2.12 1.88 2.48 2.27 2.15 1.92 1.74
1998 2.73 2.61 2.45 1.55 0.49 -0.86 -1.45 -1.39 -1.21 -1.28 -1.18 -1.51
1999 -1.71 -1.14 -1.04 -1.29 -0.68 -0.84 -0.88 -0.92 -0.55 -1.09 -1.30 -1.47
2000 -1.22 -1.78 -1.24 -1.13 -0.79 -0.30 -0.19 -0.50 -0.71 -0.87 -1.36 -0.82
2001 -0.88 -1.16 -0.50 -0.35 0.18 0.00 0.33 0.45 -0.08 0.07 -0.47 0.36
2002 -0.22 -0.44 0.31 0.30 0.98 0.89 1.04 1.30 1.07 1.01 1.09 1.41
2003 0.68 0.99 0.77 0.14 -0.04 0.19 0.13 0.20 0.30 0.43 0.43 -0.26
2004 0.87 -0.50 -0.07 0.55 -0.21 0.54 0.94 0.88 0.78 0.56 0.88 0.91
2005 0.23 2.20 0.28 0.59 0.98 0.27 0.26 0.43 -0.15 -0.53 -0.01 -0.23
2006 -1.25 -0.36 -1.04 -0.46 0.52 0.42 0.58 1.04 0.82 1.22 0.53 0.89
2007 0.89 0.29 0.11 0.17 0.02 -0.08 0.10 -0.43 -0.58 -0.96 -1.10 -1.37
2008 -1.65 -2.33 -1.11 -0.85 -0.29 -0.58 -0.14 -0.40 -0.78 -0.71 -0.82 -1.05
2009 -1.24 -1.92 -0.37 -0.44 0.68 0.65 0.53 1.05 0.34 1.86 1.55 1.75
2010 1.64 1.93 1.25 -0.10 -0.71 -0.59 -1.99 -2.24 -2.56 -2.17 -1.69 -2.75
2011 -2.41 -3.05 -2.24 -1.68 -0.47 -0.30 -0.71 -0.57 -1.15 -0.95 -1.30 -2.32
2012 -1.14 -0.79 -0.81 -0.20 -0.06 0.55 0.46 0.69 0.23 0.02 0.18 0.29
2013 -0.19 -0.12 -1.16 0.05 -0.76 -0.85 -0.63 -0.45 -0.08 -0.02 -0.52 -0.08
2014 -1.30 -0.61 0.34 -0.21 0.11 0.41 0.29 0.56 0.90 0.75 1.26 0.81
2015 0.89 0.21 0.81 0.87 1.54 1.35 2.15 2.36 2.63 2.67 1.99 1.74
2016 2.90 2.97 1.19 1.69 0.03 -0.29 -0.51 -0.88 -1.14 -0.22 -0.14 -0.34
2017 -0.27 0.06 -0.49 0.49 0.31 0.69 -0.19 -0.42 -0.58 -0.90 -1.12 -0.33
2018 -1.13 -0.04 -1.49 -0.62 -0.25 0.31 0.20 0.49 1.05 0.29 0.63 -0.23
2019 0.43 1.58 0.90 0.65 1.19 0.90 0.86 0.26 1.00 0.64 1.07 0.71
2020 0.18 0.25 0.42 0.35 -0.40 0.07 -0.26 -1.19 -1.03 -1.03 -1.08 -1.83
2021 -1.86 -1.84 -0.63 -0.59 -0.52 -0.15 -1.05 -0.62 -0.69 -1.00 -1.14 -1.61
2022 -0.75 -1.37 -1.79 -1.76 -1.98 -1.41 -0.95 -1.45 -1.79 -1.78 -0.63 -1.97
2023 -1.34 -1.49 -0.15 0.12 1.44 0.78 1.26 
